KEY,NOTES,ENGLISH,POLISH
FLOOR.STONE_SLAB,,Stone slab,Kamienna płyta
FLOOR.TILLED_EARTH,,Tilled earth,Ziemia uprawna
FLOOR.UNEXPLORED,Used when the player clicks on an area they have not discovered yet,Unexplored,

FOODSTUFF.ROCKBREAD,This is a made-up fantasy food,Rockbread,
FOODSTUFF.ROCKBREAD.TOOLTIP,,This is an infamously tough bread which is so hard and practically inedible that it takes a very long time to turn mouldy. The human explorer J. A. Moffatt once described eating it as “akin to chewing gravel that has been dredged from a swamp”. Fortunately most dwarves don’t seem to mind.,
FOODSTUFF.WHEAT-BREAD,"Actually just to describe “wheat” as a foodstuff, not specifically bread",Wheat,

FUEL.SACK,,Fuel,
FUEL.SACK.TOOLTIP,,"Fuel is required in the production of metal, both by the {{FURNITURE.BLOOMERY_FURNACE}} and the {{FURNITURE.FORGE}}.",

FURNITURE.BAKERS_WORKTOP,,Baker’s worktop,
FURNITURE.BAKERS_WORKTOP.TOOLTIP,,A {{PROFESSION.CHEF}} works here to turn {{RESOURCE.FLOUR.SACK.PLURAL}} into {{INGREDIENT.DOUGH}}.,
FURNITURE.BAKING_OVEN,For the baking of bread,Baker's oven,Piec do chleba
FURNITURE.BAKING_OVEN.TOOLTIP,,A {{PROFESSION.CHEF}} bakes loaves here using prepared {{INGREDIENT.DOUGH}}.,
FURNITURE.BLOOMERY_FURNACE,A simple type of furnace to smelt metal from ore,Bloomery furnace,
FURNITURE.BLOOMERY_FURNACE.TOOLTIP,,A {{PROFESSION.BLACKSMITH}} uses this hand-operated furnace to turn {{RESOURCE.ORE.CRUSHED.PLURAL}} and {{FUEL.SACK}} into {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}}.,
FURNITURE.CARPENTRY_WORKBENCH,,Carpentry workbench,Stół cieśli
FURNITURE.CARPENTRY_WORKBENCH.TOOLTIP,,"Most wooden items and tools are produced here, such as {{PRODUCT.BUCKET.PLURAL}} and {{PRODUCT.BARREL.PLURAL}}.",
FURNITURE.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,Kocioł
FURNITURE.CAULDRON.TOOLTIP,,A cauldron is used to serve a large quantity of soup to hungry settlers. The soup is produced in a {{ROOMS.KITCHEN}} before being moved to a {{ROOMS.FEASTING_HALL}} for serving.,
FURNITURE.CHAIR,,Chair,Krzesło
FURNITURE.CHARCOAL_CLAMP,,Charcoal clamp,
FURNITURE.CHARCOAL_CLAMP.TOOLTIP,,"This is a pile of {{RESOURCE.LOGS.PLURAL}} covered with {{MATERIAL_TYPE.EARTH}} and slowly burned to produce {{ORE.CHARCOAL.NOUN}}, which can then be used as {{FUEL.SACK}}.",
FURNITURE.COKE_OVEN,,Coke oven,
FURNITURE.COKE_OVEN.TOOLTIP,,A coke oven converts {{ORE.BITUMINOUS_COAL.NOUN}} into {{ORE.COKE.NOUN}} so that it can be used as {{FUEL.SACK}}.,
FURNITURE.DESCRIPTION,E.g. “Granite stonemason workbench”,{{materialType.adjective}} {{furnitureType.noun}},{{materialType.adjective}} {{furnitureType.noun}}
FURNITURE.DESCRIPTION.GENERIC_PROGRESS,,Progress to completion: {{progress}}%,
FURNITURE.DESCRIPTION.MUSHROOM_INNOCULATION_IN_PROGRESS,,Progress to complete innoculation: {{progress}}%,
FURNITURE.DESCRIPTION.SHOCKING_IN_PROGRESS,Used to display how long a mushroom log submerged in water needs to be “shocked” for,Progress to shock mushroom log: {{progress}}%,
FURNITURE.DESCRIPTION.WAITING_FOR_ITEM,,Waiting for {{itemType.noun}},
FURNITURE.DESCRIPTION.WAITING_FOR_LIQUID,,Waiting to be filled,
FURNITURE.DESCRIPTION.WAITING_FOR_MUSHROOM_SPAWN,,Waiting to be injected with mushroom spawn,
FURNITURE.FEASTING_TABLE,A very large table for a feast,Feasting table,Stół biesiadny
FURNITURE.FEASTING_TABLE.TOOLTIP,,"With a {{FURNITURE.CHAIR}} in place, your settlers will enjoy their meals at this table.",
FURNITURE.FLOUR_MILL,This is a table with a hand-operated flour mill stone on top,Gristmill,
FURNITURE.FLOUR_MILL.TOOLTIP,,The gristmill grinds {{VEGETABLE.WHEAT}} into {{RESOURCE.FLOUR.SACK.NOUN}} so that it can be used by a {{PROFESSION.CHEF}}.,
FURNITURE.FORGE,,Forge,
FURNITURE.FORGE.TOOLTIP,,This is where a {{PROFESSION.BLACKSMITH}} works with {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}} and {{FUEL.SACK}} to craft items and weapons.,
FURNITURE.GRAVE,,Grave,
FURNITURE.GRAVE.TOOLTIP,,A hastily-dug grave for deceased settlers that can only be placed in {{MATERIAL_TYPE.EARTH}}.,
FURNITURE.KITCHEN_WORKTOP,Simple piece of furniture in a kitchen used to hold ingredients on top of it,Kitchen worktop,Blat kuchenny
FURNITURE.KITCHEN_WORKTOP.TOOLTIP,,An area to store ingredients for a {{PROFESSION.CHEF}} to cook soup.,
FURNITURE.LANTERN,,Lantern,Latarnia
FURNITURE.LANTERN.TOOLTIP,,A lantern provides light – this does not currently have an in-game effect.,
FURNITURE.LARGE_TABLE,,Large table,Duży stół
FURNITURE.MUSHROOM_LOG,,Mushroom log,
FURNITURE.MUSHROOM_LOG.TOOLTIP,,"A log that has been injected with {{INGREDIENT.MUSHROOM.SPAWN.PLURAL}} to produce several harvests of delicious, juicy mushrooms.",
FURNITURE.MUSHROOM_SHOCK_TANK,This is a trough of water used to immerse mushroom logs in for a period of time,Shock tank,
FURNITURE.MUSHROOM_SHOCK_TANK.TOOLTIP,,"After innoculation, a {{FURNITURE.MUSHROOM_LOG}} is placed in this tank to “shock” the mushroom colony and encourage it to grow mushrooms.",
FURNITURE.ORE_CRUSHING_STATION,,Ore crushing station,
FURNITURE.ORE_CRUSHING_STATION.TOOLTIP,,Raw {{RESOURCE.ORE.UNREFINED.PLURAL}} is crushed to a more workable size so that it can be used in a {{FURNITURE.BLOOMERY_FURNACE}}.,
FURNITURE.PILLAR,A pillar used to support a roof,Pillar,
FURNITURE.PILLAR.TOOLTIP,,A pillar is required to stop large mined-out areas from collapsing. An area of 7x7 tiles that have been mined without any pillars or other supports in place will eventually collapse.,
FURNITURE.SARCOPHAGUS,A stone tomb,Sarcophagus,
FURNITURE.SARCOPHAGUS.TOOLTIP,,This elaborate stone container is the final resting place of a deceased settler.,
FURNITURE.SERVING_TABLE,A table used to hold food for serving,Serving table,Stół do podawania posiłków
FURNITURE.SERVING_TABLE.TOOLTIP,,{{PRODUCT.BREAD.LOAF.PLURAL}} are placed here for serving after being baked in a {{FURNITURE.BAKING_OVEN}}.,
FURNITURE.SINGLE_BED,,Bed,Łóżko
FURNITURE.SINGLE_BED.TOOLTIP,,"A bed is the best place for a comfortable night’s rest. ",
FURNITURE.SINGLE_DOOR,,Door,Drzwi
FURNITURE.SINGLE_DOOR_FRAME,,Door frame,Futryna
FURNITURE.SMALL_TABLE,,Small table,Mały stół
FURNITURE.STONEMASON_WORKBENCH,,Stonemason workbench,Stół kamieniarza
FURNITURE.STONEMASON_WORKBENCH.TOOLTIP,,A {{PROFESSION.STONEMASON}} works here with {{MATERIAL_TYPE.STONE.ADJECTIVE}} resources.,
FURNITURE.STOOL,,Stool,Stołek
FURNITURE.WATER_BARREL,,Water barrel,Beczka na wodę
FURNITURE.WATER_BARREL.TOOLTIP,,"A water barrel is a place for your settlers to get a thirst-quenching drink, rather than having to find a natural water source like the river.",
FURNITURE.WOODCUTTERS_BENCH,,Woodcutting bench,Stół do cięcia drewna
FURNITURE.WOODCUTTERS_BENCH.TOOLTIP,,A {{PROFESSION.WOODCUTTER}} works here to turn {{RESOURCE.LOGS.PLURAL}} into {{RESOURCE.PLANKS.PLURAL}}.,

GEM.AMETHYST.ADJECTIVE,,Amethyst,Ametystowy
GEM.AMETHYST.NOUN,,Amethyst,Ametyst
GEM.AMETHYST.TOOLTIP,,A violet-hued variety of quartz. Ancient humans believed it could magically protect them from becoming too drunk. For this reason it is not very popular in dwarven culture.,
GEM.AMMOLITE.ADJECTIVE,,Ammolite,
GEM.AMMOLITE.NOUN,,Ammolite,
GEM.AMMOLITE.TOOLTIP,,An opal-like gemstone which has a red to green iridescence. It is known as the “hunting stone” and amulets made from it are meant to bring good luck to a hunt.,
GEM.AQUAMARINE.ADJECTIVE,,Aquamarine,Akwamarynowy
GEM.AQUAMARINE.NOUN,,Aquamarine,Akwamaryna
GEM.AQUAMARINE.TOOLTIP,,A cyan-coloured variety of beryl. Some humans believe it offers magical protection against the dangers of the seas. This is because an ancient mage used a combination of sky and ice magic to protect trading ships during the age of darkness.,
GEM.BIXBITE.ADJECTIVE,,Bixbite,
GEM.BIXBITE.NOUN,,Bixbite,
GEM.BIXBITE.TOOLTIP,,"Also known as red beryl, it is a very rare gemstone. It is often confused for a red-coloured emerald.",
GEM.CINNABAR.ADJECTIVE,,Cinnabar,
GEM.CINNABAR.NOUN,,Cinnabar,
GEM.CINNABAR.TOOLTIP,,An ore of mercury which is often used in jewellery due to its deep-red hue. It is also used to produce the dye known as vermillion.,
GEM.CITRINE.ADJECTIVE,,Citrine,Cytrynowy
GEM.CITRINE.NOUN,,Citrine,Cytryn
GEM.CITRINE.TOOLTIP,,"A yellowish variety of quartz. It is the gemstone most similar in colour to gold, so most dwarves think citrine is lucky.",
GEM.DIAMOND.ADJECTIVE,,Diamond,Diamentowy
GEM.DIAMOND.NOUN,,Diamond,Diament
GEM.DIAMOND.TOOLTIP,,The hardest known material and one of the most important of the seven heavenly stones. Diamonds are the most condensed form of the neutral element known as “spirit” or “aether”.,
GEM.EMERALD.ADJECTIVE,,Emerald,Szmaragdowy
GEM.EMERALD.NOUN,,Emerald,Szmaragd
GEM.EMERALD.TOOLTIP,,A vibrant green variety of beryl. It is thought that engraving on an emerald brings great misfortune. Emeralds are closely related to elemental life and associated magic.,
GEM.GARNET.ADJECTIVE,,Garnet,Granatowy
GEM.GARNET.NOUN,,Garnet,Granat
GEM.GARNET.TOOLTIP,,"Garnets cover a variety of minerals used as gemstones, all with a deep red colour. Some garnet gems are actually a condensed form of elemental fire.",
GEM.JADE.ADJECTIVE,,Jade,Jadeitowy
GEM.JADE.NOUN,,Jade,Jadeit
GEM.JADE.TOOLTIP,,"A mineral with a light-green colour often used for decoration. Also, elves have been known to use jade to produce medicine which can cure ailments of the gut.",
GEM.JASPER.ADJECTIVE,,Jasper,Jaspisowy
GEM.JASPER.NOUN,,Jasper,Jaspis
GEM.JASPER.TOOLTIP,,"An impure variety of silica which can occur in several colours, but most commonly red. Jasper is favoured as a decoration material by orcs due to its variety.",
GEM.LABRADORITE.ADJECTIVE,,Labradorite,
GEM.LABRADORITE.NOUN,,Labradorite,
GEM.LABRADORITE.TOOLTIP,,A rock which shines with a typically light-blue iridescence. Rarer specimens can reflect a wide range of colours.,
GEM.LAPIS.ADJECTIVE,,Lapis lazuli,
GEM.LAPIS.NOUN,,Lapis lazuli,
GEM.LAPIS.TOOLTIP,,A rock with a brilliant deep blue hue which is used as a precious stone.,
GEM.MAGNESITE.ADJECTIVE,,Magnesite,
GEM.MAGNESITE.NOUN,,Magnesite,
GEM.MAGNESITE.TOOLTIP,,A mineral which can be polished into beads for use in jewellery. These beads can by dyed into many different colours.,
GEM.MOONSTONE.ADJECTIVE,,Moonstone,Księżycowy
GEM.MOONSTONE.NOUN,,Moonstone,Kamień księżycowy
GEM.MOONSTONE.TOOLTIP,,"Thought to be formed by moonlight captured in rock, which makes this gemstone a favourite of the elves.",
GEM.MORGANITE.ADJECTIVE,,Morganite,Morganitowy
GEM.MORGANITE.NOUN,,Morganite,Morganit
GEM.MORGANITE.TOOLTIP,,A rose-coloured variety of beryl. It was named after being popularised by a particularly wealthy merchant in the age of myth.,
GEM.OPAL.ADJECTIVE,,Opal,Opalowy
GEM.OPAL.NOUN,,Opal,Opal
GEM.OPAL.TOOLTIP,,"A form of silica infused with the magic of the oceans, which makes this a favourite of sailors and fishermen.",
GEM.PAINITE.ADJECTIVE,,Painite,
GEM.PAINITE.NOUN,,Painite,
GEM.PAINITE.TOOLTIP,,A very rare gemstone which is often identified as an off-colour sapphire. The crystals are naturally hexagonal in shape and a favourite of tacticians.,
GEM.RHODOCHROSITE.ADJECTIVE,,Rhodochrosite,
GEM.RHODOCHROSITE.NOUN,,Rhodochrosite,
GEM.RHODOCHROSITE.TOOLTIP,,Found in varying shades of red to pink. It is not as hard as most gemstones making it a poor choice for rings and other high-impact jewellery.,
GEM.ROCK_CRYSTAL.ADJECTIVE,,Rock crystal,Kryształowy
GEM.ROCK_CRYSTAL.NOUN,,Rock crystal,Kryształ
GEM.ROCK_CRYSTAL.TOOLTIP,,The purest form of quartz. Rock crystals often feature in magical artifacts as they are a condensed form of the element of ice.,
GEM.RUBY.ADJECTIVE,,Ruby,Rubinowy
GEM.RUBY.NOUN,,Ruby,Rubin
GEM.RUBY.TOOLTIP,,"One of the seven heavenly stones, rubies are the element of fire condensed into a solid form.",
GEM.SAPPHIRE.ADJECTIVE,,Sapphire,Szafirowy
GEM.SAPPHIRE.NOUN,,Sapphire,Szafir
GEM.SAPPHIRE.TOOLTIP,,"Often believed to protect the wearer from the attention of daemons, sapphires are much sought-after by mages for use in sky and air-based magic.",
GEM.SPINEL.ADJECTIVE,,Spinel,Spinelowy
GEM.SPINEL.NOUN,,Spinel,Spinel
GEM.SPINEL.TOOLTIP,,"Often confused with heavenly stones like true rubies and sapphires, spinels are a lesser form of magic-infused gem which can be associated with any of the elements, depending on colour.",
GEM.TANZANITE.ADJECTIVE,,Tanzanite,Tanzanitowy
GEM.TANZANITE.NOUN,,Tanzanite,Tanzanit
GEM.TANZANITE.TOOLTIP,,A rare gemstone that can alternate between blue and violet. It is thought to be formed from the material body of a dead god.,
GEM.TOPAZ.ADJECTIVE,,Topaz,Topazowy
GEM.TOPAZ.NOUN,,Topaz,Topaz
GEM.TOPAZ.TOOLTIP,,"Sometimes confused with the more common {{GEM.CITRINE.NOUN}} gem, topaz can be found in several colours but most commonly a yellowish brown. It was first discovered on an island which no longer exists.",
GEM.TOURMALINE.ADJECTIVE,,Tourmaline,Turmalinowy
GEM.TOURMALINE.NOUN,,Tourmaline,Turmalin
GEM.TOURMALINE.TOOLTIP,,Often found alongside {{ORE.CASSITERITE.ADJECTIVE}} ore. It is sometimes associated with earth magic.,
GEM.TURQUOISE.ADJECTIVE,,Turquoise,Turkusowy
GEM.TURQUOISE.NOUN,,Turquoise,Turkus
GEM.TURQUOISE.TOOLTIP,,A blue-green mineral often used in decorations. It is thought to bring good luck to the bearer. It is often infused with the element of earth.,

GOAL.ADD_TO_INVENTORY.DESCRIPTION,E.g. “Collecting bag of wheat seeds”,Collecting {{targetDescription}},Zbieranie {{targetDescription}}
GOAL.DRINK.DESCRIPTION,,Drinking {{targetZoneMaterial}},
GOAL.EAT.DESCRIPTION,,Eating {{targetDescription}},
GOAL.HAULING.DESCRIPTION,E.g. “Hauling granite stone”,Hauling {{targetDescription}},Transportowanie {{itemDescription}}
GOAL.IDLE.DESCRIPTION,When not doing anything,Idle,Bezczynny
GOAL.SLEEP.DESCRIPTION,,Going to sleep,Idzie spać
GOAL.TRANSFER_LIQUID.DESCRIPTION,Becomes “Transferring water”,Transferring {{targetZoneMaterial}},Przenosi {{targetZoneMaterial}}

GUI.ADD_REMOVE_TILES,Heading to describe adding or removing an area of a zone/room,Add/remove tiles,Dodaj/usuń kafelki
GUI.ADD_TILES,This should be as short as possible,Add tiles,Dodaj kafelki
GUI.AMBIENT_EFFECT_VOLUME,This is a volume setting for ambient effects such as birdsong and river flowing,Ambient atmosphere effect volume:,
GUI.BACK_LABEL,This should be as short as possible,Back,"Wstecz "
GUI.BUILD.BRIDGE,For building a bridge across a river,Bridge,
GUI.BUILD.DOORS,Take from FURNITURE.SINGLE_DOOR,Doors,Drzwi
GUI.BUILD.WALLS,,Walls,Ściany
GUI.BUILD.WALLS.LSHAPE,For building two walls in an L-shape,L-shape,Kształt L
GUI.BUILD.WALLS.QUAD,For building 4 walls at once,Quad,Poczwórny
GUI.BUILD.WALLS.SINGLE,For building a single wall,Single,Pojedynczy
GUI.BUILD_FURNITURE,This should be as short as possible,Furniture,Meble
GUI.BUILD_LABEL,This should be as short as possible,Build,Buduj
GUI.CANCEL_LABEL,This should be as short as possible,Cancel,"Anuluj "
GUI.CHANGE_PROFESSION_LABEL,,Change profession,
GUI.CROP_SELECTION,,Crop:,Plon:
GUI.DATE_TIME_LABEL,"E.g. 09:20, day 4, spring","{{timeOfDay}}, day {{dayNumber}}, {{season}}","{{timeOfDay}} , dzień {{dayNumber}} , {{season}}"
GUI.DIALOG.DISMISS,,Dismiss,
GUI.DIALOG.ERROR_ROOM_NAME_ALREADY_EXISTS,Error message when the player attempts to rename a room to the same name as another room,A room with that name already exists.,
GUI.DIALOG.ERROR_SAVE_INCOMPATIBLE,"Error loading a save as it is from an older, incompatible version of the game",The save file could not be loaded because it is incompatible with this version of the game.,
GUI.DIALOG.ERROR_TITLE,Shown as the title of an error dialog,An error has occurred,Wystąpił jakiś błąd
GUI.DIALOG.ERROR_WHILE_LOADING,Unexpected error while loading a previous save,There was an unexpected error while loading the game.,
GUI.DIALOG.ERROR_WHILE_SAVING,Unexpected error while saving the game,There was an unexpected error while saving the game.,
GUI.DIALOG.INFO_TITLE,,Information,
GUI.DIALOG.JUMP_TO,,Go to location,
GUI.DIALOG.LANGUAGE_TRANSLATION_INCOMPLETE,,The selected language translation is currently incomplete and will be missing some text. A fallback language will be used.,
GUI.DIALOG.MOD_CHANGES_OUTSTANDING,,You have selected a different set of mods to be applied to the game. These will be applied when the game is next restarted.,
GUI.DIALOG.MOD_INCOMPATIBLE,,One or more mods are incompatible with this version of the game and have been deactivated. You can check for updates in the mods menu.,
GUI.DIALOG.OK_BUTTON,Single button shown to dismiss an error dialog,OK,Ok
GUI.DIALOG.RENAME_ROOM_TITLE,,Rename room,
GUI.DIALOG.RESTART_REQUIRED,,You must restart the game for this change to take effect,
GUI.FURNITURE_ASSIGNED_TO,Used to show who owns a piece of furniture,Assigned to {{name}},Przypisano do {{name}}
GUI.FURNITURE_BEING_REMOVED,Label for when a piece of furniture is in the process of being removed,Currently being removed,Trwa usuwanie
GUI.FURNITURE_REQUIRES_FLOOR_MATERIALTYPE,,This furniture must be placed on {{materialType}}.,
GUI.GRAPHICS.FULLSCREEN,,Fullscreen,"Pełny ekran "
GUI.GRAPHICS.RESOLUTION,,Resolution,"Rozdzielczość "
GUI.LEAVE_CROP_FALLOW,,None (Leave fallow),Brak (pozostawić odłogiem)
GUI.MINIMAP.LABEL,,Minimap,
GUI.MUSIC_VOLUME,,Music volume:,Głośność muzyki:
GUI.NEW_VERSION_AVAILABLE,,New version now available on Itch.io,
GUI.NEXT_LABEL,This should be as short as possible,Next,Dalej
GUI.NON_ROTATABLE_FURNITURE.HINT,,This furniture can not be rotated in this version of the game,
GUI.OK_LABEL,This should be as short as possible,Ok,OK
GUI.OPTIONS.AUDIO.TITLE,,Sound Options,
GUI.OPTIONS.GAMEPLAY.HIDE_TREES_OBSCURING_SETTLERS,This is an option that makes trees partially transparent when a settler moves behind them,Make trees transparent when obscuring settlers,
GUI.OPTIONS.GAMEPLAY.PAUSE_ON_NOTIFICATION,,Pause for notifications,
GUI.OPTIONS.GAMEPLAY.TITLE,,"Gameplay Options ","Ustawienia Gry "
GUI.OPTIONS.GAMEPLAY.USE_EDGE_SCROLLING,This is for a question to ask if the player would like the camera to scroll/pan by placing the mouse at the edge of the screen,Scroll when cursor is at the edge of the screen,
GUI.OPTIONS.GRAPHICS.TITLE,,"Graphics Options ","Ustawienia Grafiki "
GUI.OPTIONS.MISC.CRASH_REPORTING_ENABLED,,Allow automatic crash reports,
GUI.OPTIONS.MISC.TITLE,,Miscellaneous,
GUI.ORDERS.CHOP_WOOD,This should be as short as possible,Chop,Rąb
GUI.ORDERS.CLEAR_GROUND,This should be as short as possible,Clear,Sprzątaj
GUI.ORDERS.HARVEST_PLANTS,This should be as short as possible,Harvest,Zbieraj
GUI.ORDERS.MINE,This should be as short as possible,Mine,Kop
GUI.ORDERS_LABEL,This should be as short as possible,Orders,Rozkazy
GUI.PLACE_BRIDGE.HINT,This is a longer label as a hint to the player,A bridge must cover both sides of the river and be at least 3x3 tiles in size,
GUI.REMOVE_LABEL,This should be as short as possible,Remove,Usuń
GUI.REMOVE_TILES,This should be as short as possible,Remove tiles,Usuń kafelki
GUI.RESOURCE_MANAGEMENT.TITLE,,Resources,
GUI.RESOURCE_MANAGEMENT.UNALLOCATED_LABEL,,Available: {{count}},
GUI.ROTATE_FURNITURE.HINT,This is a longer label as a hint to the player,Press (R) to rotate furniture,"Wciśnij (R), aby obrócić mebel"
GUI.SAVING_PROMPT,Displayed to the player when the game is paused for autosaving,Saving…,Zapisywanie...
GUI.SETTLER_MANAGEMENT.DEAD_COUNTER,,Dead: {{count}},
GUI.SETTLER_MANAGEMENT.LIVING_COUNTER,,Population: {{count}},
GUI.SETTLER_MANAGEMENT.TITLE,,Settlers,
GUI.SETTLER_MANAGEMENT.TOTAL_QUANTITY_LABEL,,Total: {{count}},
GUI.SOUND_EFFECT_VOLUME,,Sound effect volume,"Głośność efektów "
GUI.UI_SCALE,Used to make the game interface larger or smaller,UI scale:,Rozmiar interfejsu:
GUI.ZONES_LABEL,This should be as short as possible,Zones,Strefy

HAPPINESS_MODIFIER.ATE_NICELY_PREPARED_FOOD,,Ate a nicely prepared meal,
HAPPINESS_MODIFIER.CARRIED_DEAD_BODY,,Carried a dead body,
HAPPINESS_MODIFIER.DRANK_FROM_RIVER,,Drank river water,
HAPPINESS_MODIFIER.DYING_OF_HUNGER,,Starving,
HAPPINESS_MODIFIER.DYING_OF_THIRST,,Critically dehydrated,
HAPPINESS_MODIFIER.NEW_SETTLEMENT_OPTIMISM,,Optimistic about new settlement,
HAPPINESS_MODIFIER.POISONED,,Poisoned,
HAPPINESS_MODIFIER.SAW_DEAD_BODY,,Saw a dead body,
HAPPINESS_MODIFIER.SLEPT_IN_LARGE_PRIVATE_BEDROOM,,"Slept in a spacious, private bedroom",
HAPPINESS_MODIFIER.SLEPT_IN_PRIVATE_BEDROOM,,Slept in a private bedroom,
